"x","y"
233694.344993519,332303.44637054
225974.926246708,327284.824095665
219243.224095278,326552.755668582
219509.483019367,330773.3395476
222604.539295884,335889.694326619
230444.038315189,343078.521146347
238751.38039007,348985.531703958
241781.802681545,353587.413959841
244223.444293398,358971.158654506
248369.245411504,363225.189920872
259147.530963637,371179.72317899
279529.102104045,379942.205513924
282545.684160097,380415.657505452
290403.331066428,379146.604149769
298184.519162411,380381.110108796
305037.491367293,383591.981854984
311812.677487512,384184.001300781
326882.644930554,374262.350818518
322589.571827028,389282.678508903
329347.71249633,392757.56835392
338887.571010988,379107.62866504
342494.965692131,377639.218550255
350157.537914069,379513.873896739
347235.35971593,381827.171278369
343796.583274769,382002.459852148
339315.814923208,384094.956222895
335588.168872897,388479.634155482
329500.318835419,402323.255236929
329961.77321586,410482.660695062
334301.947394652,418912.266809853
339069.07927114,426660.916794212
335183.431167569,428267.073211393
332096.998659123,431299.269486403
331317.557204117,439129.51428656
332641.522899557,446016.245730827
341056.085188815,451998.244768015
343625.993936082,461219.419324679
344790.11264824,471382.2760664
343469.224978732,476065.719949954
335239.377268583,475424.284584661
331213.863543846,473580.800354938
327579.123752131,470620.645821139
323903.017515243,470859.144316795
313948.044091926,482294.183917042
308334.920577173,490918.85077261
298382.750489462,509157.176836982
297158.19650456,519957.542360778
305882.344243543,543003.705227625
318802.563617462,557611.312790457
333733.822191411,562539.372375865
330878.499911671,563571.678412151
308279.815636319,564179.047087831
300790.197241687,562517.917037673
293738.363019584,556607.826683017
289784.600610111,554838.658778657
285660.088352436,554251.423882206
281836.577614896,551327.789144806
278064.152464651,547231.546620558
274176.410152476,544652.824817103
266617.287923151,545566.251547083
262914.156132543,544791.17149642
260348.789988017,547300.498546787
258266.026140777,551383.970697977
255409.624176645,552546.180921218
252143.547849674,551418.04277011
245134.781704652,546237.427128347
238104.6145635,543286.683197369
229865.225394055,547006.001826506
219160.469446411,553788.154378028
216906.553100968,551556.429841489
214236.160169203,545757.627330676
212456.43217596,536604.266141252
204999.779643883,544934.593734308
198842.562925498,555919.878370898
196925.647495399,562737.827812442
197102.932353626,570305.056821045
200815.882509322,573076.574890745
204587.376892484,570221.831811087
211148.919522483,587916.896102905
223573.000481729,610799.547748541
227875.946688952,617489.505817078
231028.506197251,626316.138592499
230773.664305098,632185.003615161
228457.980525662,637220.456667064
218364.303041747,648864.527629191
218883.308345424,657989.688848848
220437.953198312,668258.042862489
223543.234217963,674327.64549697
224792.640512079,675457.445063296
238695.361069853,674751.931281185
233394.635182695,678152.392796724
222975.246009432,687905.134877601
223302.762354808,691199.987703526
226186.269983821,699717.378984979
224980.321055888,698890.492997953
222510.927663281,695003.594424282
217698.411412468,685551.918629405
214906.721878155,683418.255443553
207171.993133734,681466.705503171
205575.581624864,676781.652869037
204291.025168172,675598.830427744
200445.897313994,675236.144885046
199069.090182659,670863.923446116
198204.298472818,670621.184154508
197341.818132729,675446.162809794
197607.199887601,683364.59252241
199465.854432906,690571.49032338
202623.670095578,696129.415523495
214338.570977646,708574.414292098
208747.337776218,704821.07749518
195898.891549279,693428.776035066
189224.826369581,685868.515055777
187411.440212851,683295.562240212
186774.062987184,681084.052768002
186682.904588029,678502.540446026
188841.716955482,664530.438238451
187718.282704017,658166.95623194
174851.954795734,616383.980993695
172586.494473315,612242.676084898
170589.788876332,610119.199895188
168783.088517942,609701.712345265
163492.335961092,610793.601829887
161283.945340343,614092.943333656
161500.419102361,617686.348942657
162789.780597899,623024.273547288
168327.384814734,642860.235209853
170553.841276796,648334.920177603
173689.958882191,653370.869213477
180460.859553685,662126.939982703
180337.927609887,662726.633048477
176052.920857196,661160.019833341
174296.686320023,661839.176162373
173109.064600037,663703.580062704
175348.178021371,690590.047600299
179184.396977705,699277.48130974
